Symbol,Name,Date,Beta,PBR,MarketCap,Momentum1M,Momentum3M,Momentum6M,Momentum12M,Volatility,RSI,MACD,Signal,MACD_Hist,Sector,Industry,Beta_Factor,Value_Factor,Size_Factor,Momentum_Factor,Volatility_Factor,weighted_score,factor_percentile,smart_signal,signal_strength,rebalance_priority,to_rebalance
META,Meta Platforms Inc.,2015-11-30,1.27,8.26,1603.61,2.23,14.54,31.63,34.16,26.09,43.43,1.42,2.06,-0.64,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-11-30,1.06,9.77,3545.55,3.94,24.55,17.54,16.77,26.59,55.07,0.98,1.17,-0.19,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.5,-0.275,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-11-30,2.27,36.35,4321.92,12.23,40.08,44.48,53.77,32.75,54.6,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-11-30,1.87,17.43,1394.85,11.27,-7.33,-8.19,-5.83,40.59,54.27,0.05,-0.09,0.15,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-11-30,0.43,3.09,295.56,-4.3,-3.48,-5.43,16.08,24.27,46.98,-0.97,-1.03,0.06,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-01,1.11,55.49,4110.34,-1.39,9.4,-9.32,3.71,25.6,51.62,0.14,0.17,-0.02,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-01,1.37,6.64,2455.22,8.49,36.76,57.58,108.3,32.65,57.37,1.03,1.15,-0.12,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-01,1.08,10.1,3917.54,6.29,24.5,42.71,45.24,27.22,60.76,0.79,0.85,-0.06,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-01,1.27,8.26,1603.61,5.05,22.8,33.42,42.64,26.16,47.88,1.44,1.94,-0.5,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-01,1.06,9.77,3545.55,5.61,32.93,18.48,16.67,26.58,68.21,1.01,1.14,-0.13,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.375,-0.5,-0.3,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-01,2.27,36.35,4321.92,15.88,52.48,47.51,61.77,32.81,70.21,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-01,1.87,17.43,1394.85,14.62,-0.6,-4.91,2.4,40.62,68.51,0.12,-0.05,0.17,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-01,0.43,3.09,295.56,-1.29,3.67,-2.17,19.21,24.38,50.67,-0.73,-0.97,0.24,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.5,-0.125,-6.94E-18,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-02,1.11,55.49,4110.34,-3.63,3.95,-9.74,3.17,25.57,50.47,0.11,0.15,-0.05,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-02,1.37,6.64,2455.22,7.58,32.41,56.85,107.17,32.61,51.14,1,1.12,-0.12,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-02,1.08,10.1,3917.54,4.03,20.61,40.42,44.42,27.19,55.36,0.78,0.84,-0.06,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-02,1.27,8.26,1603.61,2.67,18,31.86,40.56,26.13,42.07,1.35,1.82,-0.47,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-02,1.06,9.77,3545.55,4.4,28.19,19.24,17.03,26.54,67.3,1.02,1.11,-0.09,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.375,-0.5,-0.3,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-02,2.27,36.35,4321.92,13.67,46.89,49.32,60.31,32.77,70.89,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-02,1.87,17.43,1394.85,8.51,-6.34,-6.59,0.24,40.6,61.03,0.15,-0.01,0.16,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-02,0.43,3.09,295.56,-0.46,3.88,1.2,20.22,24.38,56.41,-0.4,-0.86,0.45,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.5,-0.125,-6.94E-18,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-03,1.11,55.49,4110.34,-5.61,4.82,-10.68,1.06,25.55,48.61,0.06,0.14,-0.08,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-03,1.37,6.64,2455.22,6.55,32,52.6,110.51,32.59,50.26,0.92,1.08,-0.16,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-03,1.08,10.1,3917.54,2.59,20.59,38.34,43.06,27.17,54.92,0.72,0.82,-0.09,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-03,1.27,8.26,1603.61,1.75,18.41,26.61,39.4,26.14,40.54,1.13,1.68,-0.55,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-03,1.06,9.77,3545.55,0.77,25.44,17.24,15.8,26.55,59.93,0.95,1.08,-0.13,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.375,-0.5,-0.3,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-03,2.27,36.35,4321.92,14.22,46.17,50.65,55.95,32.72,71.45,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-03,1.87,17.43,1394.85,11.69,-5.24,-6.54,1.49,40.54,68.62,0.17,0.03,0.15,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-03,0.43,3.09,295.56,-1.84,1.76,-1.57,15.95,24.43,54.61,-0.32,-0.75,0.43,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.5,-0.125,-6.94E-18,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-04,1.11,55.49,4110.34,-2.02,9.4,-7.17,4.82,25.67,67.5,0.09,0.13,-0.04,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-04,1.37,6.64,2455.22,4.94,34.8,56.14,112.24,32.54,64.26,0.87,1.04,-0.16,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-04,1.08,10.1,3917.54,3.16,23.89,41.24,43.61,27.15,67.31,0.71,0.8,-0.08,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-04,1.27,8.26,1603.61,2.16,20.3,29.41,41.12,26.13,56.57,1.09,1.56,-0.48,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-04,1.06,9.77,3545.55,3.47,32.1,22.21,17.59,26.65,72.94,1,1.06,-0.07,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.375,-0.5,-0.3,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-04,2.27,36.35,4321.92,20.86,55.76,54.01,63.77,32.85,85.5,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-04,1.87,17.43,1394.85,-0.54,-4.77,-6.32,0.92,40.49,73.34,0.18,0.06,0.12,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-04,0.43,3.09,295.56,3.15,5.7,2.24,20.06,24.48,61.25,-0.07,-0.61,0.54,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.5,-0.125,-6.94E-18,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-07,1.11,55.49,4110.34,-2.3,8.71,-7.25,4.6,25.64,61.38,0.1,0.12,-0.02,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-07,1.37,6.64,2455.22,1.59,34.23,56.89,114.26,32.5,60.63,0.82,0.99,-0.18,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-07,1.08,10.1,3917.54,1.5,22.9,40.66,46.38,27.12,60.36,0.67,0.77,-0.1,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-07,1.27,8.26,1603.61,-1.39,19.66,28.57,38.31,26.1,54.5,1,1.45,-0.45,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-07,1.06,9.77,3545.55,2.31,31.86,22.58,18.4,26.61,68.07,1.02,1.05,-0.04,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.5,-0.275,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-07,2.27,36.35,4321.92,5.34,52.81,49.94,59.75,32.85,74.5,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-07,1.87,17.43,1394.85,-0.53,-4.46,-7.23,3.32,40.42,69.42,0.18,0.08,0.1,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-07,0.43,3.09,295.56,1.39,4.05,0.75,17.41,24.48,54.34,0,-0.49,0.49,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-08,1.11,55.49,4110.34,-2.34,5.72,-6.67,6.98,25.6,62.91,0.1,0.12,-0.01,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-08,1.37,6.64,2455.22,2.72,30.87,59.94,120.89,32.46,65.97,0.79,0.95,-0.16,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-08,1.08,10.1,3917.54,1.78,20.39,42.63,46.05,27.08,63.67,0.64,0.75,-0.1,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-08,1.27,8.26,1603.61,-0.57,18.94,32.01,39.17,26.07,53.94,0.98,1.36,-0.37,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-08,1.06,9.77,3545.55,2.27,27.97,23.63,20.14,26.57,72.67,1.02,1.05,-0.03,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.5,-0.275,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-08,2.27,36.35,4321.92,6.77,48.53,55.54,64.02,32.82,76.35,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-08,1.87,17.43,1394.85,-2.43,-8.64,-11.54,5.77,40.4,63.42,0.16,0.1,0.06,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-08,0.43,3.09,295.56,1.37,0.68,0.4,17.87,24.45,53.4,0.06,-0.38,0.44,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-09,1.11,55.49,4110.34,-4.11,5.42,-8.46,3.04,25.64,44.97,0.06,0.11,-0.05,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-09,1.37,6.64,2455.22,1.42,28.61,56.24,112.73,32.46,50.63,0.71,0.9,-0.19,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-09,1.08,10.1,3917.54,1.03,18.52,40.65,42.24,27.08,51.21,0.56,0.71,-0.15,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-09,1.27,8.26,1603.61,-1.77,15.66,29.66,36.13,26.08,40.39,0.81,1.25,-0.43,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-09,1.06,9.77,3545.55,2.2,28.51,22.05,18.67,26.56,59.19,0.96,1.03,-0.07,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.5,-0.275,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-09,2.27,36.35,4321.92,4.53,47.7,50.83,60.41,32.85,63.29,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-09,1.87,17.43,1394.85,-0.36,-9.8,-12.3,3.52,40.34,54.06,0.13,0.1,0.03,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-09,0.43,3.09,295.56,1.13,0.41,-0.39,15.75,24.42,46.88,0.05,-0.3,0.34,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-10,1.11,55.49,4110.34,-0.51,3.64,-9.07,5.54,25.6,41.66,0.03,0.09,-0.06,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-10,1.37,6.64,2455.22,0.4,26.82,53.75,116.56,32.41,50.53,0.63,0.85,-0.22,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-10,1.08,10.1,3917.54,0.23,16.74,37.54,43.94,27.04,50.05,0.48,0.66,-0.18,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-10,1.27,8.26,1603.61,-2.31,14.61,28.31,38.38,26.05,47.34,0.74,1.15,-0.41,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-10,1.06,9.77,3545.55,3.99,28.53,20.17,21.05,26.52,60.47,0.91,1.01,-0.09,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.5,-0.275,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-10,2.27,36.35,4321.92,7.45,46.61,54.84,65.4,32.81,64.31,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-10,1.87,17.43,1394.85,4.88,-8.62,-9.43,8.21,40.29,55.94,0.12,0.11,0.01,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-10,0.43,3.09,295.56,0.71,-0.05,-0.71,19.19,24.39,63.94,0.11,-0.21,0.33,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-11,1.11,55.49,4110.34,-2.52,-0.48,-11.21,3.13,25.67,33.11,-0.04,0.07,-0.1,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-11,1.37,6.64,2455.22,-4.92,20.91,47.85,108.27,32.51,37.59,0.48,0.78,-0.3,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-11,1.08,10.1,3917.54,-1.94,14.52,36.43,41.03,27.03,36.74,0.38,0.61,-0.23,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-11,1.27,8.26,1603.61,-6.32,10.94,24.8,31.38,26.16,35.59,0.4,1,-0.59,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-11,1.06,9.77,3545.55,1.44,25.17,17.97,17.73,26.56,49.11,0.79,0.96,-0.18,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.375,-0.5,-0.3,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-11,2.27,36.35,4321.92,6.89,43.99,50.92,63.03,32.79,58.18,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-11,1.87,17.43,1394.85,-0.94,-13.28,-13.68,3.9,40.42,47.16,0.05,0.1,-0.04,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-11,0.43,3.09,295.56,1.69,-1.87,-1.96,18.19,24.36,58.91,0.15,-0.14,0.29,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.5,-0.125,-6.94E-18,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-14,1.11,55.49,4110.34,0.12,-2.04,-10.77,4.25,25.63,34.74,-0.11,0.03,-0.14,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-14,1.37,6.64,2455.22,2.42,26.19,53.03,114.08,32.54,41.31,0.42,0.7,-0.29,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-14,1.08,10.1,3917.54,3.04,16.87,39.28,46.22,27.02,43.68,0.34,0.55,-0.22,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-14,1.27,8.26,1603.61,0.68,13.38,28.37,34.47,26.21,44.33,0.34,0.87,-0.52,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-12-14,1.06,9.77,3545.55,5.06,28.98,21.55,20.64,26.57,55.66,0.75,0.92,-0.17,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.5,-0.275,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-12-14,2.27,36.35,4321.92,9.71,44.09,55.52,68.67,32.74,63.03,0.02,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-12-14,1.87,17.43,1394.85,5.5,-13.67,-12.81,5.59,40.36,50.8,0.01,0.08,-0.07,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-12-14,0.43,3.09,295.56,4.43,-1.23,-0.68,19.22,24.32,61.02,0.17,-0.08,0.25,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-12-15,1.11,55.49,4110.34,-1.65,-4.57,-12.18,3.83,25.64,26.86,-0.2,-0.02,-0.18,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-12-15,1.37,6.64,2455.22,2.54,26.09,55.46,115.19,32.49,44.52,0.37,0.64,-0.27,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-12-15,1.08,10.1,3917.54,2.71,14.29,39.98,47.35,26.98,45.56,0.29,0.5,-0.21,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-12-15,1.27,8.26,1603.61,0.58,12.54,29.54,35.8,26.17,46.89,0.28,0.75,-0.47,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
