Symbol,Name,Date,Close,Volume,Beta,PBR,MarketCap,Momentum1M,Momentum3M,Momentum6M,Momentum12M,Volatility,RSI,MACD,Signal,MACD_Hist,Sector,Industry,Beta_Factor,Value_Factor,Size_Factor,Momentum_Factor,Volatility_Factor,weighted_score,factor_percentile,smart_signal,signal_strength,rebalance_priority,to_rebalance,Mkt_RF,SMB,HML,RMW,CMA
MSFT,Microsoft Corporation,2010-12-20,21.22,52811000,0.89,9.75,157.69,7.62,11.26,9.16,-6.49,18.67,84.0,0.41,0.32,0.09,Technology,Software - Infrastructure,0.5714285714285714,0.8571428571428572,0.4285714285714286,0.2857142857142857,0.7142857142857143,0.5571428571428573,71.43,BUY,MEDIUM,55.71428571428573,0,0.0023,0.0005,0.003,-0.0028000000000000004,0.002
NVDA,NVIDIA Corporation,2010-12-20,0.33,344088000,1.42,36.33,7.97,7.43,26.75,23.79,-14.92,33.69,60.67,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.3571428571428571,0.7142857142857143,0.14285714285714285,0.1428571428571429,0.21428571428571427,14.29,STRONG_SELL,HIGH,21.428571428571427,1,0.0023,0.0005,0.003,-0.0028000000000000004,0.002
TSLA,Tesla Inc.,2010-12-20,2.11,7851000,0.8,20.36,7.03,6.06,52.62,0.0,0.0,79.2,37.12,0.05,0.08,-0.03,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.3571428571428571,0.8571428571428572,0.5714285714285714,0.0,0.4714285714285714,57.14,NEUTRAL,MEDIUM,47.14285714285714,0,0.0023,0.0005,0.003,-0.0028000000000000004,0.002
UNH,UnitedHealth Group Inc.,2010-12-20,27.78,6407700,0.77,3.16,25.16,-0.94,0.1,15.62,12.9,22.09,38.89,-0.14,0.05,-0.19,Healthcare,Healthcare Plans,0.8571428571428572,0.3571428571428571,0.5714285714285714,0.7142857142857143,0.4285714285714286,0.6000000000000001,92.86,STRONG_BUY,HIGH,60.00000000000001,1,0.0023,0.0005,0.003,-0.0028000000000000004,0.002
AAPL,Apple Inc.,2010-12-21,9.72,256354000,1.06,55.02,143.67,5.7,12.67,19.64,63.55,18.6,69.86,0.1,0.11,-0.0,Technology,Consumer Electronics,0.2857142857142857,0.4285714285714286,0.0,1.0,0.8571428571428572,0.6142857142857143,85.71,STRONG_BUY,HIGH,61.42857142857143,1,0.0068000000000000005,0.004,0.006999999999999999,-0.005600000000000001,0.003
AMZN,Amazon.com Inc.,2010-12-21,9.24,102220000,1.09,6.43,98.75,12.09,21.68,52.12,39.13,31.08,69.88,0.17,0.15,0.02,Consumer Cyclical,Internet Retail,0.1428571428571429,0.4285714285714286,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.4571428571428572,57.14,NEUTRAL,MEDIUM,45.714285714285715,0,0.0068000000000000005,0.004,0.006999999999999999,-0.005600000000000001,0.003
GOOGL,Alphabet Inc.,2010-12-21,14.98,75104820,1.01,9.57,87.15,2.07,16.87,25.11,0.73,22.31,88.91,0.05,0.01,0.04,Communication Services,Internet Content & Information,0.4285714285714286,0.4285714285714286,0.1428571428571429,0.5714285714285714,0.4285714285714286,0.4428571428571429,28.57,SELL,MEDIUM,44.28571428571429,0,0.0068000000000000005,0.004,0.006999999999999999,-0.005600000000000001,0.003
MSFT,Microsoft Corporation,2010-12-21,21.41,38153000,0.89,9.75,159.16,9.26,14.76,12.18,-6.11,18.78,81.42,0.42,0.34,0.08,Technology,Software - Infrastructure,0.5714285714285714,0.4285714285714286,0.4285714285714286,0.2857142857142857,0.7142857142857143,0.4714285714285715,71.43,BUY,MEDIUM,47.142857142857146,0,0.0068000000000000005,0.004,0.006999999999999999,-0.005600000000000001,0.003
NVDA,NVIDIA Corporation,2010-12-21,0.34,466952000,1.41,36.33,8.28,8.15,30.55,27.2,-14.64,35.15,60.19,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.4285714285714286,0.7142857142857143,0.14285714285714285,0.1428571428571429,0.2285714285714286,14.29,STRONG_SELL,HIGH,22.857142857142858,1,0.0068000000000000005,0.004,0.006999999999999999,-0.005600000000000001,0.003
TSLA,Tesla Inc.,2010-12-21,2.15,11665500,0.8,20.36,7.15,4.1,62.36,0.0,0.0,79.15,42.36,0.05,0.08,-0.02,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.4285714285714286,0.8571428571428572,0.42857142857142855,0.0,0.44285714285714295,42.86,NEUTRAL,MEDIUM,44.28571428571429,0,0.0068000000000000005,0.004,0.006999999999999999,-0.005600000000000001,0.003
UNH,UnitedHealth Group Inc.,2010-12-21,27.9,6873900,0.77,3.16,25.27,-1.54,-0.65,17.77,11.16,22.01,25.34,-0.18,0.0,-0.18,Healthcare,Healthcare Plans,0.8571428571428572,0.4285714285714286,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.6428571428571429,100.0,STRONG_BUY,HIGH,64.28571428571429,1,0.0068000000000000005,0.004,0.006999999999999999,-0.005600000000000001,0.003
AAPL,Apple Inc.,2010-12-22,9.75,265921600,1.06,55.02,144.1,3.77,12.54,20.88,62.29,18.43,68.59,0.11,0.11,0.0,Technology,Consumer Electronics,0.2857142857142857,0.4285714285714286,0.0,1.0,0.8571428571428572,0.6142857142857143,85.71,STRONG_BUY,HIGH,61.42857142857143,1,0.0029,-0.003,0.0072,-0.0023,0.0021
AMZN,Amazon.com Inc.,2010-12-22,9.24,51562000,1.09,6.43,98.76,8.43,20.88,56.14,38.14,30.86,69.97,0.19,0.16,0.03,Consumer Cyclical,Internet Retail,0.1428571428571429,0.4285714285714286,0.4285714285714286,0.8571428571428571,0.2857142857142857,0.4714285714285714,57.14,NEUTRAL,MEDIUM,47.14285714285714,0,0.0029,-0.003,0.0072,-0.0023,0.0021
GOOGL,Alphabet Inc.,2010-12-22,15.04,48251700,1.01,9.57,87.5,2.41,17.92,27.44,0.73,22.35,87.65,0.07,0.02,0.05,Communication Services,Internet Content & Information,0.4285714285714286,0.4285714285714286,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.4857142857142857,71.43,BUY,MEDIUM,48.57142857142857,0,0.0029,-0.003,0.0072,-0.0023,0.0021
MSFT,Microsoft Corporation,2010-12-22,21.51,42252300,0.89,9.75,159.84,9.56,16.1,14.06,-6.63,18.77,76.0,0.43,0.36,0.07,Technology,Software - Infrastructure,0.5714285714285714,0.4285714285714286,0.1428571428571429,0.2857142857142857,0.7142857142857143,0.4428571428571429,28.57,SELL,MEDIUM,44.28571428571429,0,0.0029,-0.003,0.0072,-0.0023,0.0021
NVDA,NVIDIA Corporation,2010-12-22,0.34,477988000,1.41,36.33,8.37,9.23,29.35,35.28,-15.94,35.02,60.06,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.4285714285714286,0.5714285714285714,0.14285714285714285,0.1428571428571429,0.2142857142857143,14.29,STRONG_SELL,HIGH,21.42857142857143,1,0.0029,-0.003,0.0072,-0.0023,0.0021
TSLA,Tesla Inc.,2010-12-22,2.18,12499500,0.8,20.36,7.23,-2.31,66.82,0.0,0.0,78.83,51.16,0.05,0.07,-0.02,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.4285714285714286,0.8571428571428572,0.42857142857142855,0.0,0.44285714285714295,42.86,NEUTRAL,MEDIUM,44.28571428571429,0,0.0029,-0.003,0.0072,-0.0023,0.0021
UNH,UnitedHealth Group Inc.,2010-12-22,28.3,5115000,0.77,3.16,25.63,-1.38,1.46,21.27,12.24,22.47,27.46,-0.17,-0.03,-0.14,Healthcare,Healthcare Plans,0.8571428571428572,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.6285714285714287,100.0,STRONG_BUY,HIGH,62.85714285714287,1,0.0029,-0.003,0.0072,-0.0023,0.0021
AAPL,Apple Inc.,2010-12-23,9.71,223157200,1.06,55.02,143.41,4.82,10.7,21.33,60.12,18.44,65.63,0.11,0.11,-0.0,Technology,Consumer Electronics,0.2857142857142857,0.5714285714285714,0.0,1.0,0.8571428571428572,0.6428571428571429,100.0,STRONG_BUY,HIGH,64.28571428571429,1,-0.0016,0.0005,-0.0032,0.0021,-0.0018
AMZN,Amazon.com Inc.,2010-12-23,9.13,67164000,1.09,6.43,97.6,8.56,13.6,50.9,31.42,30.8,65.75,0.19,0.16,0.02,Consumer Cyclical,Internet Retail,0.1428571428571429,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.5142857142857143,57.14,NEUTRAL,MEDIUM,51.42857142857144,0,-0.0016,0.0005,-0.0032,0.0021,-0.0018
GOOGL,Alphabet Inc.,2010-12-23,15.01,44387568,1.01,9.57,87.31,3.64,14.59,27.83,-1.22,22.35,84.86,0.09,0.03,0.05,Communication Services,Internet Content & Information,0.4285714285714286,0.2857142857142857,0.1428571428571429,0.42857142857142855,0.5714285714285714,0.4,42.86,NEUTRAL,MEDIUM,40.0,0,-0.0016,0.0005,-0.0032,0.0021,-0.0018
MSFT,Microsoft Corporation,2010-12-23,21.59,24902500,0.89,9.75,160.47,12.66,14.91,16.7,-6.57,18.77,75.81,0.45,0.38,0.07,Technology,Software - Infrastructure,0.5714285714285714,0.0714285714285714,0.4285714285714286,0.2857142857142857,0.7142857142857143,0.39999999999999997,28.57,SELL,MEDIUM,40.0,0,-0.0016,0.0005,-0.0032,0.0021,-0.0018
NVDA,NVIDIA Corporation,2010-12-23,0.34,273784000,1.41,36.33,8.31,11.01,21.7,34.66,-17.71,35.19,52.22,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.0714285714285714,0.7142857142857143,0.14285714285714285,0.1428571428571429,0.15714285714285714,14.29,STRONG_SELL,HIGH,15.714285714285714,1,-0.0016,0.0005,-0.0032,0.0021,-0.0018
TSLA,Tesla Inc.,2010-12-23,2.01,23289000,0.82,20.36,6.67,-12.96,49.7,0.0,0.0,61.81,44.9,0.04,0.07,-0.02,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.5714285714285714,0.0,0.5714285714285715,71.43,BUY,MEDIUM,57.14285714285715,0,-0.0016,0.0005,-0.0032,0.0021,-0.0018
UNH,UnitedHealth Group Inc.,2010-12-23,28.24,3808500,0.77,3.16,25.58,-0.45,0.44,20.55,14.5,22.41,27.67,-0.17,-0.06,-0.11,Healthcare,Healthcare Plans,0.8571428571428572,0.4285714285714286,0.5714285714285714,0.7142857142857143,0.4285714285714286,0.6142857142857143,85.71,STRONG_BUY,HIGH,61.42857142857143,1,-0.0016,0.0005,-0.0032,0.0021,-0.0018
AAPL,Apple Inc.,2010-12-27,9.74,249816000,1.05,55.02,143.88,3.14,11.51,21.01,55.32,18.39,62.53,0.11,0.11,-0.0,Technology,Consumer Electronics,0.2857142857142857,0.1428571428571429,0.0,1.0,0.8571428571428572,0.5571428571428572,85.71,STRONG_BUY,HIGH,55.714285714285715,1,0.0008,0.0027,0.0043,-0.0034999999999999996,0.0016
AMZN,Amazon.com Inc.,2010-12-27,9.11,44988000,1.09,6.43,97.36,2.76,14.29,54.62,31.54,30.3,60.22,0.18,0.17,0.01,Consumer Cyclical,Internet Retail,0.1428571428571429,0.7142857142857143,0.4285714285714286,0.8571428571428571,0.2857142857142857,0.5285714285714286,57.14,NEUTRAL,MEDIUM,52.85714285714286,0,0.0008,0.0027,0.0043,-0.0034999999999999996,0.0016
GOOGL,Alphabet Inc.,2010-12-27,14.96,48275676,1.0,9.57,87.05,1.25,13.57,27.6,-2.6,22.22,79.09,0.09,0.05,0.05,Communication Services,Internet Content & Information,0.4285714285714286,0.2857142857142857,0.1428571428571429,0.42857142857142855,0.5714285714285714,0.4,28.57,SELL,MEDIUM,40.0,0,0.0008,0.0027,0.0043,-0.0034999999999999996,0.0016
MSFT,Microsoft Corporation,2010-12-27,21.41,21652800,0.89,9.75,159.16,10.64,14.2,16.8,-7.57,18.69,74.31,0.44,0.39,0.05,Technology,Software - Infrastructure,0.5714285714285714,0.4285714285714286,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.45714285714285713,42.86,NEUTRAL,MEDIUM,45.714285714285715,0,0.0008,0.0027,0.0043,-0.0034999999999999996,0.0016
NVDA,NVIDIA Corporation,2010-12-27,0.34,255500000,1.41,36.33,8.36,8.93,25.0,35.14,-17.08,34.87,58.97,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.0,0.7142857142857143,0.14285714285714285,0.1428571428571429,0.14285714285714288,14.29,STRONG_SELL,HIGH,14.285714285714288,1,0.0008,0.0027,0.0043,-0.0034999999999999996,0.0016
TSLA,Tesla Inc.,2010-12-27,1.7,139528500,0.83,20.36,5.66,-27.97,24.45,0.0,0.0,74.96,36.07,0.01,0.05,-0.05,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.8571428571428572,0.5714285714285714,0.5714285714285714,0.0,0.5428571428571429,71.43,BUY,MEDIUM,54.28571428571429,0,0.0008,0.0027,0.0043,-0.0034999999999999996,0.0016
UNH,UnitedHealth Group Inc.,2010-12-27,28.06,2810600,0.77,3.16,25.42,-1.45,0.87,22.61,13.55,22.28,29.6,-0.18,-0.08,-0.09,Healthcare,Healthcare Plans,0.8571428571428572,0.5714285714285714,0.8571428571428572,0.7142857142857143,0.4285714285714286,0.6714285714285715,100.0,STRONG_BUY,HIGH,67.14285714285715,1,0.0008,0.0027,0.0043,-0.0034999999999999996,0.0016
AAPL,Apple Inc.,2010-12-28,9.76,175924000,1.05,55.02,144.23,3.32,13.46,27.05,53.81,16.35,71.45,0.11,0.11,0.0,Technology,Consumer Electronics,0.2857142857142857,0.0714285714285714,0.0,1.0,0.8571428571428572,0.5428571428571429,78.57,BUY,MEDIUM,54.28571428571429,0,0.0,-0.0043,0.0019,-0.0001,-0.0014000000000000002
AMZN,Amazon.com Inc.,2010-12-28,9.05,39500000,1.09,6.43,96.79,2.2,13.39,66.73,29.99,29.07,60.92,0.17,0.17,0.0,Consumer Cyclical,Internet Retail,0.1428571428571429,0.7142857142857143,0.4285714285714286,0.8571428571428571,0.2857142857142857,0.5285714285714286,57.14,NEUTRAL,MEDIUM,52.85714285714286,0,0.0,-0.0043,0.0019,-0.0001,-0.0014000000000000002
GOOGL,Alphabet Inc.,2010-12-28,14.88,42549408,1.0,9.57,86.55,1.51,13.61,31.85,-3.85,21.3,66.38,0.09,0.06,0.04,Communication Services,Internet Content & Information,0.4285714285714286,0.5714285714285714,0.1428571428571429,0.42857142857142855,0.5714285714285714,0.45714285714285713,35.71,SELL,MEDIUM,45.714285714285715,0,0.0,-0.0043,0.0019,-0.0001,-0.0014000000000000002
MSFT,Microsoft Corporation,2010-12-28,21.37,23042200,0.89,9.75,158.82,10.93,14.19,21.55,-8.27,18.0,72.27,0.42,0.4,0.02,Technology,Software - Infrastructure,0.5714285714285714,0.4285714285714286,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.45714285714285713,35.71,SELL,MEDIUM,45.714285714285715,0,0.0,-0.0043,0.0019,-0.0001,-0.0014000000000000002
NVDA,NVIDIA Corporation,2010-12-28,0.34,194260000,1.41,36.33,8.32,9.85,24.81,42.56,-16.07,32.19,49.14,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.0714285714285714,0.8571428571428572,0.14285714285714285,0.1428571428571429,0.17142857142857143,14.29,STRONG_SELL,HIGH,17.142857142857142,1,0.0,-0.0043,0.0019,-0.0001,-0.0014000000000000002
TSLA,Tesla Inc.,2010-12-28,1.76,60844500,0.83,20.36,5.86,-25.23,23.41,10.55,0.0,73.12,34.57,-0.01,0.04,-0.05,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.8571428571428572,0.5714285714285714,0.5714285714285714,0.0,0.5428571428571429,78.57,BUY,MEDIUM,54.28571428571429,0,0.0,-0.0043,0.0019,-0.0001,-0.0014000000000000002
UNH,UnitedHealth Group Inc.,2010-12-28,28.2,3082900,0.77,3.16,25.55,-0.12,2.28,25.64,15.18,21.54,36.71,-0.17,-0.1,-0.07,Healthcare,Healthcare Plans,0.8571428571428572,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.6000000000000001,100.0,STRONG_BUY,HIGH,60.00000000000001,1,0.0,-0.0043,0.0019,-0.0001,-0.0014000000000000002
AAPL,Apple Inc.,2010-12-29,9.76,163139200,1.05,55.02,144.15,2.66,13.2,29.32,55.57,16.29,64.96,0.1,0.11,-0.0,Technology,Consumer Electronics,0.2857142857142857,0.1428571428571429,0.0,1.0,0.8571428571428572,0.5571428571428572,78.57,BUY,MEDIUM,55.714285714285715,0,0.0017000000000000001,0.0009,-0.0012,0.0004,-0.0007000000000000001
AMZN,Amazon.com Inc.,2010-12-29,9.17,62402000,1.09,6.43,98.01,2.16,15.33,67.83,31.53,26.0,66.4,0.17,0.17,0.0,Consumer Cyclical,Internet Retail,0.1428571428571429,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.4857142857142857,42.86,NEUTRAL,MEDIUM,48.57142857142857,0,0.0017000000000000001,0.0009,-0.0012,0.0004,-0.0007000000000000001
GOOGL,Alphabet Inc.,2010-12-29,14.93,40727232,1.0,9.57,86.85,3.25,13.89,35.07,-2.97,20.98,65.1,0.09,0.06,0.03,Communication Services,Internet Content & Information,0.4285714285714286,0.4285714285714286,0.1428571428571429,0.42857142857142855,0.4285714285714286,0.4000000000000001,28.57,SELL,MEDIUM,40.00000000000001,0,0.0017000000000000001,0.0009,-0.0012,0.0004,-0.0007000000000000001
MSFT,Microsoft Corporation,2010-12-29,21.34,19502500,0.89,9.75,158.59,10.51,14.86,22.96,-9.04,17.98,66.52,0.4,0.4,0.0,Technology,Software - Infrastructure,0.5714285714285714,0.7142857142857143,0.4285714285714286,0.2857142857142857,0.7142857142857143,0.5285714285714287,57.14,NEUTRAL,MEDIUM,52.85714285714287,0,0.0017000000000000001,0.0009,-0.0012,0.0004,-0.0007000000000000001
NVDA,NVIDIA Corporation,2010-12-29,0.34,177660000,1.41,36.33,8.32,8.65,25.76,46.33,-17.09,31.84,46.12,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.1428571428571429,0.8571428571428572,0.14285714285714285,0.1428571428571429,0.18571428571428575,14.29,STRONG_SELL,HIGH,18.571428571428577,1,0.0017000000000000001,0.0009,-0.0012,0.0004,-0.0007000000000000001
TSLA,Tesla Inc.,2010-12-29,1.85,49788000,0.83,20.36,6.15,-19.23,26.16,16.37,0.0,74.04,36.51,-0.02,0.03,-0.05,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.8571428571428572,0.7142857142857143,0.5714285714285714,0.0,0.5571428571428572,78.57,BUY,MEDIUM,55.714285714285715,0,0.0017000000000000001,0.0009,-0.0012,0.0004,-0.0007000000000000001
UNH,UnitedHealth Group Inc.,2010-12-29,28.35,3593700,0.77,3.16,25.68,-1.53,2.35,27.33,17.82,19.33,38.57,-0.15,-0.11,-0.04,Healthcare,Healthcare Plans,0.8571428571428572,0.1428571428571429,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5857142857142857,100.0,STRONG_BUY,HIGH,58.57142857142858,1,0.0017000000000000001,0.0009,-0.0012,0.0004,-0.0007000000000000001
AAPL,Apple Inc.,2010-12-30,9.71,157494400,1.05,55.02,143.43,4.02,14.07,30.26,52.93,15.34,63.28,0.1,0.1,-0.01,Technology,Consumer Electronics,0.2857142857142857,0.2857142857142857,0.0,1.0,0.8571428571428572,0.5857142857142857,100.0,STRONG_BUY,HIGH,58.57142857142858,1,-0.0011,0.0013,-0.0004,0.002,0.0003
AMZN,Amazon.com Inc.,2010-12-30,9.14,39224000,1.09,6.43,97.68,4.19,16.36,64.7,33.89,25.87,69.03,0.17,0.17,-0.0,Consumer Cyclical,Internet Retail,0.1428571428571429,0.4285714285714286,0.4285714285714286,0.8571428571428571,0.2857142857142857,0.4714285714285714,42.86,NEUTRAL,MEDIUM,47.14285714285714,0,-0.0011,0.0013,-0.0004,0.002,0.0003
GOOGL,Alphabet Inc.,2010-12-30,14.87,39540420,1.0,9.57,86.54,7.76,13.9,36.26,-3.83,20.13,60.27,0.09,0.07,0.02,Communication Services,Internet Content & Information,0.4285714285714286,0.5714285714285714,0.1428571428571429,0.42857142857142855,0.4285714285714286,0.4285714285714286,28.57,SELL,MEDIUM,42.85714285714286,0,-0.0011,0.0013,-0.0004,0.002,0.0003
MSFT,Microsoft Corporation,2010-12-30,21.25,20786100,0.89,9.75,157.91,10.25,14.42,21.63,-8.17,17.78,67.42,0.37,0.39,-0.02,Technology,Software - Infrastructure,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.5142857142857143,57.14,NEUTRAL,MEDIUM,51.42857142857144,0,-0.0011,0.0013,-0.0004,0.002,0.0003
NVDA,NVIDIA Corporation,2010-12-30,0.34,174488000,1.41,36.33,8.35,10.14,28.34,44.41,-19.71,30.14,53.27,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.0714285714285714,0.7142857142857143,0.14285714285714285,0.1428571428571429,0.15714285714285714,14.29,STRONG_SELL,HIGH,15.714285714285714,1,-0.0011,0.0013,-0.0004,0.002,0.0003
TSLA,Tesla Inc.,2010-12-30,1.77,30616500,0.84,20.36,5.88,-24.99,29.84,20.67,0.0,74.38,34.68,-0.04,0.02,-0.05,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.5714285714285714,0.0,0.5714285714285715,85.71,STRONG_BUY,HIGH,57.14285714285715,1,-0.0011,0.0013,-0.0004,0.002,0.0003
UNH,UnitedHealth Group Inc.,2010-12-30,28.38,2865500,0.77,3.16,25.71,-1.26,2.7,29.95,17.31,18.9,40.92,-0.14,-0.12,-0.02,Healthcare,Healthcare Plans,0.8571428571428572,0.0714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,71.43,BUY,MEDIUM,57.14285714285714,0,-0.0011,0.0013,-0.0004,0.002,0.0003
AAPL,Apple Inc.,2010-12-31,9.67,193508000,1.05,55.02,142.95,1.95,14.17,30.62,53.07,15.33,56.68,0.09,0.1,-0.01,Technology,Consumer Electronics,0.2857142857142857,0.2857142857142857,0.0,1.0,0.8571428571428572,0.5857142857142857,92.86,STRONG_BUY,HIGH,58.57142857142858,1,-0.001,-0.006,0.0022,-0.0014000000000000002,0.0013
AMZN,Amazon.com Inc.,2010-12-31,9.0,69038000,1.09,6.43,96.21,1.95,17.1,64.93,33.81,26.52,59.63,0.15,0.17,-0.01,Consumer Cyclical,Internet Retail,0.1428571428571429,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.5142857142857143,57.14,NEUTRAL,MEDIUM,51.42857142857144,0,-0.001,-0.006,0.0022,-0.0014000000000000002,0.0013
GOOGL,Alphabet Inc.,2010-12-31,14.75,61510428,1.01,9.57,85.83,5.25,13.0,36.06,-4.2,20.3,52.2,0.07,0.07,0.0,Communication Services,Internet Content & Information,0.4285714285714286,0.5714285714285714,0.1428571428571429,0.42857142857142855,0.4285714285714286,0.4285714285714286,28.57,SELL,MEDIUM,42.85714285714286,0,-0.001,-0.006,0.0022,-0.0014000000000000002,0.0013
